Asset,Alias,Description,Model,Model Name,Serial Number,Organization,Commission Date,Out of Service,OEM
EWR.IB.DC.CO.01.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16936,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.01.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16937,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.02.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16939,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.02.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16940,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.03.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16930,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.03.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16931,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.04.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16933,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.04.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16934,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.05.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O14960,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.05.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O14961,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.07.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32N14582,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.07.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32N14583,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.08.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16918,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.08.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16919,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.09.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16921,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.09.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16922,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.10.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32P16078,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.10.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32P16079,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.11.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32P16072,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.11.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32P16073,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.12.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32P16075,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.12.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32P16076,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.13.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16909,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.13.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16910,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.14.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16906,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.14.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16907,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.15.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16903,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.15.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16904,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.16.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16915,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.16.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16916,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.18.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16927,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.18.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16928,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.19.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16924,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.19.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32Q16925,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.20.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O15879,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.20.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O15880,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.21.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O15876,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.21.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O15877,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.22.WH.01,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O15746,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.CO.22.WH.02,,Dry Cleaning,TL HCS 800 N2,Columbia,BW32O15747,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.IP.01,,Dry Cleaning,IPURA 440N,Ipura,JN22M13384,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.IP.02,,Dry Cleaning,IPURA 440N,Ipura,JN22N14052,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.IP.03,,Dry Cleaning,IPURA 440N,Ipura,JN22N14053,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.IP.04,,Dry Cleaning,IPURA 440N,Ipura,JN22P16084,EWR,9/27/2021,NO,ILSA
EWR.IB.DC.IP.05,,Dry Cleaning,IPURA 440N,Ipura,JN22P16083,EWR,9/27/2021,NO,ILSA
